id,school,nickname,abbreviation,home_url,arena,logo_url,conference_id
1,Albany,Great Danes,,http://www.espn.com/mens-college-basketball/team/_/id/399/albany-great-danes,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/399.png,1
2,Binghamton,Bearcats,,http://www.espn.com/mens-college-basketball/team/_/id/2066/binghamton-bearcats,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2066.png,1
3,Hartford,Hawks,,http://www.espn.com/mens-college-basketball/team/_/id/42/hartford-hawks,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/42.png,1
4,Maine,Black Bears,,http://www.espn.com/mens-college-basketball/team/_/id/311/maine-black-bears,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/311.png,1
5,New Hampshire,Wildcats,,http://www.espn.com/mens-college-basketball/team/_/id/160/new-hampshire-wildcats,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/160.png,1
6,Stony Brook,Seawolves,,http://www.espn.com/mens-college-basketball/team/_/id/2619/stony-brook-seawolves,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2619.png,1
7,UMass Lowell,River Hawks,,http://www.espn.com/mens-college-basketball/team/_/id/2349/umass-lowell-river-hawks,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2349.png,1
8,UMBC,Retrievers,,http://www.espn.com/mens-college-basketball/team/_/id/2378/umbc-retrievers,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2378.png,1
9,Vermont,Catamounts,,http://www.espn.com/mens-college-basketball/team/_/id/261/vermont-catamounts,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/261.png,1
10,Cincinnati,Bearcats,,http://www.espn.com/mens-college-basketball/team/_/id/2132/cincinnati-bearcats,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2132.png,2
11,East Carolina,Pirates,,http://www.espn.com/mens-college-basketball/team/_/id/151/east-carolina-pirates,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/151.png,2
12,Houston,Cougars,,http://www.espn.com/mens-college-basketball/team/_/id/248/houston-cougars,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/248.png,2
13,Memphis,Tigers,,http://www.espn.com/mens-college-basketball/team/_/id/235/memphis-tigers,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/235.png,2
14,SMU,Mustangs,,http://www.espn.com/mens-college-basketball/team/_/id/2567/smu-mustangs,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2567.png,2
15,South Florida,Bulls,,http://www.espn.com/mens-college-basketball/team/_/id/58/south-florida-bulls,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/58.png,2
16,Temple,Owls,,http://www.espn.com/mens-college-basketball/team/_/id/218/temple-owls,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/218.png,2
17,Tulane,Green Wave,,http://www.espn.com/mens-college-basketball/team/_/id/2655/tulane-green-wave,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2655.png,2
18,Tulsa,Golden Hurricane,,http://www.espn.com/mens-college-basketball/team/_/id/202/tulsa-golden-hurricane,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/202.png,2
19,UCF,Knights,,http://www.espn.com/mens-college-basketball/team/_/id/2116/ucf-knights,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2116.png,2
20,UConn,Huskies,,http://www.espn.com/mens-college-basketball/team/_/id/41/uconn-huskies,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/41.png,2
21,Wichita St,Shockers,,http://www.espn.com/mens-college-basketball/team/_/id/2724/wichita-st-shockers,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2724.png,2
22,Davidson,Wildcats,,http://www.espn.com/mens-college-basketball/team/_/id/2166/davidson-wildcats,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2166.png,3
23,Dayton,Flyers,,http://www.espn.com/mens-college-basketball/team/_/id/2168/dayton-flyers,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2168.png,3
24,Duquesne,Dukes,,http://www.espn.com/mens-college-basketball/team/_/id/2184/duquesne-dukes,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2184.png,3
